,no2_ref
3359,2.6
6231,1.1
3965,1.3
5201,2.4
8074,16.9
829,4.9
1774,23.5
6769,1.9
8090,3.7
4281,1.5
5896,1.7
554,7.0
7133,14.7
3522,3.6
1365,11.7
5926,0.5
770,6.0
1414,10.0
6248,1.2
2832,3.9
2414,3.7
8115,4.7
6042,7.9
4357,2.5
4827,3.1
703,10.2
2846,3.4
3466,1.0
5809,1.7
7393,4.1
4196,2.3
2758,6.5
1211,2.8
3486,3.7
6888,7.6
6634,2.5
7246,10.4
4205,2.3
2555,3.0
5191,1.5
5415,1.0
335,2.6
8103,2.5
6155,11.2
4159,2.8
6678,11.3
6560,1.4
5087,1.5
4646,4.0
6506,1.3
7732,3.1
1429,3.9
1912,4.8
7052,10.4
1599,3.0
2791,2.2
914,24.6
7328,1.9
1214,2.7
4786,2.9
5870,5.1
1177,5.4
5730,1.8
6166,11.4
2831,3.4
5477,5.4
7954,4.4
6705,15.3
1153,4.8
5990,5.1
3434,0.6
1858,24.2
7161,4.7
7909,4.3
6259,3.8
8041,22.3
5122,1.6
3839,5.2
3328,0.5
7462,7.6
7181,5.7
4663,6.1
2683,0.7
7506,7.2
6507,1.3
8011,12.6
705,7.2
4975,2.0
261,18.7
2200,16.6
2355,2.3
7343,2.2
1736,21.6
1328,2.2
3106,3.0
1164,6.3
3109,2.3
6896,6.7
6350,3.7
3050,0.9
8100,6.8
983,22.0
533,2.7
4097,5.4
3784,2.9
2799,0.6
7639,22.8
928,8.8
4101,2.4
8126,7.7
76,14.9
684,5.4
1417,12.7
1300,11.7
485,6.3
7014,10.0
7087,20.1
4012,2.0
6782,1.6
423,9.0
5805,3.3
7621,4.5
6816,13.6
56,20.4
3872,2.1
587,5.8
2810,2.3
39,8.9
6185,2.0
6789,6.1
7210,1.2
1434,2.0
5873,7.9
841,31.4
3596,1.8
3798,2.8
3407,4.9
4280,1.4
5344,3.1
4865,1.5
3255,1.0
5455,5.2
7706,0.6
6646,8.6
940,2.0
1661,3.6
7322,1.8
5796,3.8
7085,17.8
5910,1.0
3536,2.2
669,5.9
3505,2.3
5499,5.6
7394,5.8
5348,3.1
6994,19.9
5869,4.8
1669,0.9
1664,1.8
4985,1.7
1713,2.7
1852,4.0
7993,13.4
7769,2.6
7907,4.6
1074,4.2
3023,2.3
8014,19.0
5403,6.2
7468,17.1
7981,26.3
1502,3.3
3419,2.5
4879,1.5
6133,14.2
5426,6.1
1403,7.5
473,6.0
4909,4.1
6113,1.5
109,6.7
956,1.3
814,29.0
833,10.1
5959,1.0
5017,3.4
6050,5.5
4034,2.3
135,14.9
5530,3.2
7128,5.9
5825,2.2
7757,16.2
4177,4.8
1726,1.8
3709,3.3
8156,1.9
3632,3.7
5791,3.6
4069,2.5
6360,5.9
7240,27.7
4431,2.0
5840,3.9
4903,3.3
3634,3.1
2609,3.3
6842,16.1
7811,30.6
3142,1.3
209,6.8
1733,8.6
3972,1.5
5552,6.4
5133,2.4
1400,9.8
4978,3.0
1654,2.4
3284,1.5
2506,2.0
104,4.3
2428,5.6
5677,4.2
7171,3.6
2675,3.0
457,9.0
311,3.5
4795,3.2
5544,8.0
3217,2.2
2127,3.1
5628,1.8
3164,1.2
3987,1.5
4230,1.2
6728,1.5
2574,2.5
6730,1.9
3850,1.1
1272,4.0
5722,3.0
4846,2.1
6314,8.1
1679,1.6
6163,4.7
4727,5.6
4523,1.9
7261,6.4
7792,23.4
6164,5.4
2141,10.0
6131,15.4
6070,3.0
2604,3.7
5931,0.5
5516,6.5
5663,4.1
495,3.6
4984,1.8
857,4.0
2262,8.8
1840,4.8
5548,12.9
6566,4.0
2767,2.5
3143,1.4
7616,11.1
2410,7.5
5091,2.6
7189,1.4
4686,5.6
5877,9.5
3703,3.0
247,4.0
5199,4.5
7764,7.1
307,2.4
6313,8.7
284,2.6
3963,1.6
3358,2.4
1349,2.9
3339,2.6
5342,2.3
3068,2.0
5354,3.4
5404,3.5
1668,0.8
2595,12.3
1973,3.6
7992,17.5
1108,2.1
5107,4.0
4998,2.8
7095,4.0
777,1.2
515,9.0
6657,9.6
5535,3.4
945,2.1
5309,0.7
4283,1.4
6747,0.7
111,9.4
735,2.4
3293,4.8
7496,4.6
7518,17.9
4555,1.6
2209,1.1
6726,2.4
3007,6.6
5169,2.3
7349,33.4
8051,15.5
5918,0.4
7234,2.6
4940,1.1
4138,3.0
4312,6.6
413,6.5
7204,22.1
5817,2.9
2143,14.1
153,2.9
2001,14.3
5759,2.0
1273,3.2
184,30.0
2975,0.7
7402,2.7
2061,3.6
6221,0.8
2726,3.9
7734,4.9
5258,1.8
6035,4.7
2885,1.0
4116,2.4
6714,1.8
4618,5.3
2698,1.7
2702,2.2
4010,2.0
7812,36.8
2092,4.9
6532,2.0
6855,7.1
